,YR_1,YR_3,YR_5,YR_7,YR_9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__,0.000144337,0.000495159,0.000280339,0.00058582,0.000735183
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas,2.04E-05,3.58E-05,1.28E-05,4.50E-05,2.91E-05
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Ammopiptanthus mongolicus|g__,0.00160495,0.00084957,0.000869857,0.000556432,0.000311342
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae|g__,0.000793879,0.000932939,0.001068648,0.000657585,0.001192075
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Aquaspirillaceae|g__Aquaspirillum,0.000368886,0.000687691,0.001187756,0.00195652,0.002224163
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Methylobacterium-Methylorubrum,0.00018385,0.000386017,0.000528166,0.00044809,0.000500073
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales|f__Paracaedibacteraceae|g__,0.001533992,0.002454056,0.00125558,0.00108631,0.001007928
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Phacotus lenticularis|g__,0.00339087,0.002028336,0.002195599,0.000906659,0.000624813
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Lacibacter,0.000554532,0.000788355,0.00077141,0.001068748,0.00089643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas,0.000442403,0.0002959,0.000578095,0.000424212,0.000443794
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cyclotella sp. L04_2|g__,0.002676281,0.001499781,0.003143507,0.002074665,0.000653024
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Chitinibacteraceae|g__Chitinibacter,0.000729136,0.00048314,0.000378663,0.000946209,0.001483332
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Haliscomenobacter,0.000205466,0.000413301,0.000357614,0.000413958,0.000428486
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__,2.41E-05,3.56E-05,0.000127583,4.84E-05,5.54E-05
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Chlamydomonas asymmetrica|g__,0.002226924,0.000446175,0.000334675,0.000103767,5.11E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Methylophilaceae|g__OM43 clade,0.000282912,0.000373472,0.000497713,0.000456848,0.000959339
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__A0839|g__,9.34E-05,0.000394999,0.001319808,0.001328143,0.000575666
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__KD3-93|g__,0.00055048,0.000334784,0.000649709,0.000489479,0.000618977
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Aquaspirillaceae|g__Rivicola,0.001806317,0.000899223,0.000832863,0.002123366,0.003071274
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__,0.00064793,0.000704187,0.000796634,0.000556609,0.00049744
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas,0.000387617,0.000772169,0.000778242,0.000687586,0.00055801
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylomonadaceae|g__Methylomonas,0.000161112,0.00021568,0.000168044,0.000149304,0.000345931
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Longivirga,0.000434069,0.00092869,0.000809873,0.000708931,0.000464429
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Planctonema lauterbornii|g__,0.000920328,0.002513425,0.00139607,0.001110858,0.000682833
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Cyanobacteriaceae|g__Symphothece PCC-7002,0.000248006,0.000192295,0.000259983,0.000158007,7.66E-05
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Aphanizomenon NIES81,0.000179635,0.000157854,0.000194092,0.000531684,0.000217421
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Rhodocyclus,0.001811181,0.001640433,0.001507828,0.002148165,0.003753892
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__,4.43E-06,0,5.87E-06,0,0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Cryomorphaceae|g__,0.000293954,0.000243915,0.000345369,0.000128493,0.000224519
k__Bacteria|p__Firmicutes|c__Bacilli|o__Paenibacillales|f__Paenibacillaceae|g__Paenibacillus,0.002471329,0.00039855,0.000121882,0.000125847,0.00030162
k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Conexibacter,0.000356963,0.000742359,0.000746606,0.000321496,0.000281752
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas,8.58E-05,0.000143666,0.000186641,0.000213048,5.88E-05
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Microscillaceae|g__Hassallia,3.19E-05,0.000165454,0.000224956,0.000108767,5.34E-05
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Neglectella solitaria|g__,0.000714452,0.000979193,0.000822371,0.0004934,0.000466933
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Aurantisolimonas,0.000299644,0.000336088,0.0002509,0.00024391,0.000227773
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methyloparacoccus,0.000430183,0.000691667,0.000598968,0.001472405,0.001436457
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Candidatus Megaira,0.000282901,0.000614973,0.000211556,0.000376238,0.000463235
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Enhydrobacter,0.002104058,0.000259066,0.000632563,0.000889347,0.001006343
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__Rheinheimera,0.003611966,0.000626698,0.000825576,0.000631118,0.001518047
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Sporomusaceae|g__Anaerosinus,0.000138333,0.00021436,0.000320344,0.000403994,0.000664447
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Cylindrotheca closterium|g__,0.000341069,0.000755166,0.000839242,0.0004424,0.000171134
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JG36-GS-52|f__|g__,0.000535713,0.000816581,0.001041654,0.000780292,0.000542023
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Microcystaceae|g__Synechocystis BDHKU-20401,0.000956721,0.001101157,0.001421785,0.001819372,0.000533347
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Hydrogenophilaceae|g__Thiobacillus,8.45E-05,0.000212798,9.54E-05,9.46E-05,0.000116571
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Puia,3.48E-05,8.56E-05,0.000110656,0.00010239,6.58E-05
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Volvox carteri f. nagariensis|g__,0.004989769,0.001993401,0.001041016,0.000501636,0.000251203
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Coccomyxa sp. LA000219|g__,0.000444937,0.00050977,0.000369691,0.000349976,0.00017038
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Heterosigma akashiwo,3.66E-05,2.41E-05,9.71E-05,0.000156816,0.000434441
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__SZB7|f__|g__,0.000145894,0.000226789,0.000169073,0.0002545,0.000182316
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__,0.000330347,0.001163211,0.001349614,0.001093609,0.000790711
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Leptothrix,0.000173923,3.39E-05,7.66E-05,8.74E-05,5.86E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__SM2D12|g__,0.000642885,0.000737934,0.000578815,0.001196973,0.001446458
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae|g__WCHB1-32,0.000509614,0.000743892,0.00101614,0.001618306,0.001032641
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__|g__,0.00025273,0.000581239,0.000613499,0.000520342,0.000243478
k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia|o__Vampirovibrionales|f__|g__,3.27E-05,3.96E-05,7.68E-05,0.000106267,0.000139948
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__alphaI cluster,0.000203736,0.000428076,0.000397432,0.000329,0.000267827
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__FukuN57,9.80E-05,0.000116758,0.000202142,0.000160684,7.38E-05
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Candidatus Aquirestis,0.000349671,0.000834318,0.000538897,0.000505715,0.000413994
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JG36-TzT-191|f__|g__,0.000417581,0.000511001,0.000609372,0.000512334,0.000587705
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Ahniella,7.48E-05,0.000196263,0.000524947,0.000304303,0.000284336
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Devosiaceae|g__Devosia,0.00026169,0.000177925,0.000239114,0.000391815,0.000392112
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Zoogloea,0.000131967,0.000134253,0.000105567,0.000217148,0.000485437
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Permianibacter,0.000749761,0.000827702,0.000987786,0.000926754,0.000793297
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__R7C24|f__|g__,0.000407707,0.000612091,0.000658641,0.00069673,0.000486515
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria Incertae Sedis|f__|g__,0.000312832,0.00051437,0.000609196,0.000513107,0.000630477
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Pedomicrobium,0.000178858,0.000542915,0.000566033,0.000764326,0.000538913
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Elsterales|f__Elsteraceae|g__,0.000315127,0.000203026,0.000348333,0.000143823,0.000112125
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Psammoneis obaidii|g__,0.000336146,0.001153775,0.001520954,0.001032999,0.000336676
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis,0.000135496,0.000214888,0.00013367,0.000239221,0.000206363
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Didymosphenia geminata|g__,0.000225741,0.000449074,0.000352236,0.000323917,0.000138459
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__37-13|g__,1.50E-05,3.58E-05,0.000108531,3.99E-05,4.38E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__Methylocaldum,0.000422249,0.000277231,0.000190797,0.001213182,0.001347216
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Tetrabaena socialis|g__,0.001325615,0.000455204,0.000241952,0.000185262,7.25E-05
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae|g__,0.000170789,0.000485011,0.00045312,0.000598301,0.000457025
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__C39,0.000226351,0.000443611,0.000318016,0.000949908,0.001132463
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae|g__,0.000520283,0.001006898,0.000877446,0.001480821,0.001131538
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Mesostigma viride|g__,0.000573248,0.000541311,0.000462969,0.000508881,0.000258718
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__KI89A clade|g__,0.000130863,0.000298829,0.000474557,0.000346691,0.000270185
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter,0.000259464,0.000320396,0.000304176,0.000741861,0.000570889
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Nitzschia palea|g__,0.000843299,0.00081678,0.001136705,0.000636845,0.000244648
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Porphyrobacter,0.000528135,0.000160427,0.000209927,0.000292177,0.000210505
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria Incertae Sedis|f__|g__Candidatus Berkiella,3.89E-05,0.00017189,9.00E-05,0.000105929,0.000100133
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__|g__,0.000168669,0.000292389,0.000236014,0.000252378,0.000133402
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__,0.000176003,0.000693581,0.001121929,0.001829811,0.001534486
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Chlorella variabilis|g__,0.00032376,0.001258543,0.000437868,0.000477436,0.000232948
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae|g__Bosea,0.00019764,0.000494986,0.000419845,0.000355811,0.000364029
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Mitsuaria sp. 7,0.000779174,0.00077067,0.00074304,0.000190222,0.000283262
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium,0.000106033,0.000177565,0.000145086,0.000345209,0.000425435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__,0.000341403,0.000302343,0.000685836,0.000525082,0.000557516
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__,5.18E-05,0.000108333,0.00019472,0.000368072,0.000324507
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__LiUU-11-161|g__,6.86E-05,7.14E-05,0.000150841,0.000178982,0.000107667
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Azovibrio,2.84E-05,6.70E-05,5.75E-05,6.94E-05,8.49E-05
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Aeromonadaceae|g__Tolumonas,0.000362113,0.000178258,0.000125653,0.001024557,0.002883575
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Diplorickettsiales|f__Diplorickettsiaceae|g__,0.00025684,0.000327252,0.000423045,0.000686438,0.00098757
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylomonadaceae|g__,0.000530276,0.000689968,0.000857213,0.000672511,0.001093517
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Halomonadaceae|g__Halomonas,0.001225511,0.000650328,0.000932411,0.000812305,0.001369387
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Pedinomonas sp. UTEX 'LB 1027'|g__,0.002667593,0.000895166,0.000580006,0.000504663,0.000210476
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus,0.000290313,0.000114647,7.30E-05,7.00E-05,0.000127437
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae|g__,0.000727213,0.001300329,0.00097702,0.000685151,0.001152717
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Sphaerotilus,0.000172776,0.000170979,0.000220742,4.74E-05,7.36E-05
k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiella,0.000328962,0.000728771,0.000783972,0.00073632,0.000536884
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Carteria sp. SAG 8-5|g__,0.002280982,0.000481275,0.000397404,0.0001336,5.57E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Dongiales|f__Dongiaceae|g__Dongia,0.000184527,0.000601378,0.001344813,0.000419682,0.000621806
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Dechlorobacter,0.000263005,0.000278224,0.00032041,0.000930865,0.001434377
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Hungateiclostridiaceae|g__,6.00E-05,8.56E-05,3.38E-05,0.000192333,0.000474211
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga,0.000446257,0.000361222,0.000562746,5.76E-05,9.37E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Defluviicoccales|f__|g__,0.0001772,0.000306808,0.000579153,0.000677594,0.00066
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__,0.000727938,0.001542401,0.000490955,0.000507872,0.000544842
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leucobacter,0.000166633,0.000197272,0.000293507,0.000320908,0.000352249
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium sensu stricto 1,0.000208233,0.000178427,0.00021004,0.000309397,0.000478252
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Coxiellales|f__Coxiellaceae|g__Coxiella,4.10E-05,5.28E-05,2.17E-05,5.36E-05,3.35E-05
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__OPB41|f__|g__,0.000209773,0.000368999,0.000251608,0.000276768,0.000246464
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Azospirillales|f__Azospirillaceae|g__Niveispirillum,0.000723969,0.000620385,0.001244479,0.000396225,0.000712486
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Synechococcales|f__Synechococcaceae|g__,0.000299915,0.000426402,0.000425253,0.000264764,0.000130299
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae|g__BSV13,0.000497192,0.000197113,0.000326555,0.000227672,0.000488003
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Chitinimonadaceae|g__Chitinimonas,0.001006778,0.000424888,0.00092283,0.000835294,0.001347338
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__Crocinitomix,0.000501473,0.000315785,0.000534902,0.000268227,0.000261102
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella,0.000746317,0.000140675,0.000218508,0.000601116,0.000716257
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Paucibacter,0.001563674,0.000630572,0.000542175,0.00028697,0.000364956
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Fodinicurvataceae|g__,0.000526596,0.000521285,0.000896286,0.000767898,0.001067572
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__A21b|g__,0.000119933,0.00015511,0.000144941,0.000265021,0.000180398
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Rhodoluna,7.60E-05,9.31E-05,0.00012449,0.00017112,6.92E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Azospirillales|f__Azospirillaceae|g__Azospirillum,0.000366139,0.000611166,0.002079798,0.000484319,0.00109475
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacter,7.62E-05,0.000280693,0.000295858,0.000687144,0.002078798
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Perlucidibaca,0.001488458,0.000174891,0.000391479,0.000381754,0.000658463
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Pseudomuriella schumacherensis|g__,0.000182192,0.000682369,0.000305746,0.000312908,0.000211895
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__NS7 marine group|g__,5.37E-05,4.59E-05,6.08E-05,7.49E-05,0.000110307
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Francisellales|f__Francisellaceae|g__Francisella,0.00013697,0.00015079,9.55E-05,0.000209661,0.000201487
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Euglena gymnodinioides|g__,0.000292271,0.000285697,0.000366295,0.001227177,0.000962081
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Leptolyngbyales|f__Leptolyngbyaceae|g__Chamaesiphon PCC-7430,0.000518686,0.000616044,0.000846585,0.00105995,0.000418559
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae|g__Christensenellaceae R-7 group,0.00013976,0.000239395,0.000136137,0.001355143,0.001693272
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Denitratisoma,0.000318826,0.000507153,0.000687653,0.000720724,0.000988445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales|f__Solimonadaceae|g__Nevskia,0.000470804,0.000643269,0.000715563,0.00057983,0.000515354
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Formosa,0.000233165,0.000102567,0.000183414,0.000127913,0.000132233
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae|g__Hirschia,0.000176455,0.000158921,0.000251564,0.000263596,0.00022063
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Reyranellales|f__Reyranellaceae|g__,3.34E-05,9.62E-05,0.000115116,0.00017225,0.000111257
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Spirosomaceae|g__Flectobacillus,0.001517866,0.000280896,0.000479303,0.000194577,0.000387729
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella_9,2.33E-05,3.35E-05,3.16E-06,0.000871049,0.002385548
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidetes VC2.1 Bac22|f__|g__,0.000263045,0.000175768,0.000461952,0.000242354,0.000208495
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Alkanindiges,0.001390761,0.000124431,0.000355437,0.00022942,0.00033694
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leifsonia,0.0001691,0.000206831,0.000175827,0.000203452,0.0001643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__,0.000153437,0.000280218,0.000216886,0.00074427,0.000648415
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Dinobryon sp. LO226KS|g__,0.00064007,0.000347444,0.000101727,0.000148583,0.000169877
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Pythium ultimum,0.000172717,0.000129867,0.000158246,0.000197189,0.0001642
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__[Agitococcus] lubricus group,0.000463288,7.27E-05,0.000191324,0.000136733,0.000276216
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Oogamochlamys gigantea|g__,0.00082174,8.12E-05,0.000129246,1.92E-05,1.56E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia,2.89E-05,3.94E-05,1.87E-05,0.000649772,0.00135509
k__Bacteria|p__Actinobacteriota|c__MB-A2-108|o__|f__|g__,0.00010521,0.000437091,0.000349533,0.000197277,0.000149263
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Roseococcus,0.000263227,0.000746806,0.000763521,0.001167737,0.000507603
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Weeksellaceae|g__Cloacibacterium,0.000249349,9.71E-05,0.000105614,0.000448902,0.001292171
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Mitochondria|g__Chlorella heliozoae,0.000180327,0.000536943,0.000336221,0.000324705,0.000146873
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Euglena agilis|g__,0.000109733,0.000193955,5.29E-05,9.90E-05,0.000128334
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Gonium pectorale|g__,0.000515072,0.000126847,0.000163543,1.34E-05,2.36E-05
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast|f__Microglena monadina|g__,0.002515703,0.000567458,0.000549067,0.000101043,5.52E-05
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Paracaedibacterales|f__Paracaedibacteraceae|g__Candidatus Paracaedibacter,7.28E-05,0.000143933,0.000384727,0.000149451,0.000235819
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,4.76E-05,1.88E-05,7.87E-05,0.000417342,0.001001483
